Jugador,Equipo,Posición,Partidos,Minutos jugados,Goles,Asistencias,Paradas,Goles encajados,Tiros,Tiros a puerta,Precision tiros (%),Centros,Centros precisos,Precision centros (%),Tiros al palo,Corners forzados,Faltas recibidas,Faltas cometidas,Pases interceptados,Balones robados,Balones robados al ultimo hombre,Goles salvados bajos palos,TA,TR,Penaltis cometidos,Penaltis forzados,Penaltis lanzados,Penaltis anotados,Penaltis parados,Goles en propia meta,Tiros bloqueados,Errores en gol en contra,Regates con exito,Pases claves,Precision de pases (%),Corners precisos (en corto),Faltas colgadas,Faltas colgadas precisas,Faltas directas,Faltas directas a puerta,Goles de falta,Despejes efectivos
Hugo Guillamon,Fc Valencia,Centrocampista defensivo,10.0,360.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,1.0,1.0,100.0,0.0,0.0,4.0,6.0,5.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,81.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0
Hugo Novoa,Deportivo Alaves,Lateral derecho,4.0,222.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,29.0,0.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Hugo Sotelo,Celta Vigo,Centrocampista,14.0,716.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,23.0,8.0,35.0,0.0,3.0,7.0,12.0,2.0,12.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,88.0,12.0,5.0,0.0,0.0,0.0,0.0,3.0
Iago Aspas,Celta Vigo,Delantero centro,16.0,1206.0,6.0,3.0,0.0,0.0,37.0,17.0,46.0,7.0,3.0,43.0,1.0,1.0,27.0,12.0,6.0,7.0,0.0,0.0,4.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,9.0,22.0,75.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0
Igor Zubeldia,Real Sociedad,Defensa central,17.0,1475.0,0.0,0.0,0.0,0.0,6.0,3.0,50.0,1.0,0.0,0.0,0.0,0.0,8.0,25.0,20.0,16.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,3.0,86.0,0.0,4.0,0.0,0.0,0.0,0.0,58.0
Iker Losada,Real Betis Sevilla,Segundo delantero,10.0,335.0,0.0,0.0,0.0,0.0,5.0,1.0,20.0,4.0,1.0,25.0,0.0,1.0,2.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Iker Munoz,Ca Osasuna,Centrocampista defensivo,8.0,188.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Ilaix Moriba,Celta Vigo,Centrocampista,17.0,990.0,0.0,1.0,0.0,0.0,15.0,4.0,27.0,5.0,2.0,40.0,0.0,4.0,33.0,12.0,5.0,22.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,15.0,89.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0
Ilias Akhomach,Fc Villarreal,Extremo derecho,11.0,584.0,1.0,0.0,0.0,0.0,17.0,6.0,35.0,18.0,3.0,17.0,0.0,6.0,21.0,9.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,80.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0
Inaki Pena,Fc Barcelona,Portero,15.0,1303.0,0.0,0.0,34.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
Inaki Williams,Athletic Bilbao,Extremo derecho,19.0,1555.0,4.0,6.0,0.0,0.0,33.0,12.0,36.0,57.0,10.0,18.0,2.0,25.0,28.0,15.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,27.0,21.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
Inigo Lekue,Athletic Bilbao,Lateral derecho,7.0,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Inigo Martinez,Fc Barcelona,Defensa central,18.0,1600.0,0.0,1.0,0.0,0.0,9.0,2.0,22.0,1.0,1.0,100.0,0.0,1.0,18.0,10.0,16.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,11.0,91.0,0.0,3.0,0.0,0.0,0.0,0.0,59.0
Inigo Ruiz de Galarreta,Athletic Bilbao,Centrocampista,16.0,952.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,21.0,6.0,29.0,0.0,0.0,11.0,23.0,7.0,17.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,21.0,86.0,5.0,6.0,1.0,0.0,0.0,0.0,8.0
Irvin Cardona,Espanyol Barcelona,Delantero centro,16.0,607.0,1.0,1.0,0.0,0.0,10.0,3.0,30.0,13.0,4.0,31.0,0.0,4.0,8.0,8.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,9.0,65.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0
Isaac Romero,Fc Sevilla,Delantero centro,17.0,1327.0,2.0,2.0,0.0,0.0,36.0,13.0,36.0,11.0,2.0,18.0,1.0,11.0,21.0,24.0,3.0,3.0,0.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,12.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Isco Alarcon,Real Betis Sevilla,Centrocampista ofensivo,5.0,277.0,1.0,1.0,0.0,0.0,4.0,1.0,25.0,14.0,4.0,29.0,0.0,3.0,7.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,10.0,83.0,6.0,10.0,3.0,0.0,0.0,0.0,1.0
Isi Palazon,Rayo Vallecano,Extremo derecho,20.0,1211.0,3.0,3.0,0.0,0.0,30.0,8.0,27.0,48.0,18.0,38.0,0.0,7.0,29.0,27.0,7.0,15.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,20.0,81.0,29.0,6.0,3.0,1.0,0.0,0.0,9.0
Ivan Balliu,Rayo Vallecano,Lateral derecho,15.0,734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,17.0,0.0,1.0,4.0,12.0,6.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,76.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0
Ivan Martin,Fc Girona,Centrocampista ofensivo,16.0,1174.0,1.0,0.0,0.0,0.0,4.0,1.0,25.0,9.0,1.0,11.0,0.0,2.0,10.0,13.0,5.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,17.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Ivan Sanchez,Real Valladolid,Extremo derecho,18.0,744.0,1.0,1.0,0.0,0.0,6.0,3.0,50.0,46.0,7.0,15.0,1.0,5.0,24.0,10.0,8.0,12.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,15.0,9.0,82.0,10.0,3.0,1.0,1.0,1.0,0.0,3.0
Ivan Villar,Celta Vigo,Portero,4.0,360.0,0.0,0.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Jailson,Celta Vigo,Centrocampista defensivo,6.0,451.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0
Jaime Mata,Ud Las Palmas,Delantero centro,17.0,371.0,0.0,0.0,0.0,0.0,8.0,3.0,38.0,8.0,1.0,13.0,1.0,2.0,7.0,13.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
James Rodriguez,Real Betis Sevilla,Extremo izquierdo,6.0,140.0,0.0,0.0,0.0,0.0,4.0,2.0,50.0,13.0,2.0,15.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,89.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0
Jan Oblak,Atletico Madrid,Portero,19.0,1710.0,0.0,0.0,45.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Jasper Cillessen,Ud Las Palmas,Portero,18.0,1589.0,0.0,0.0,64.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,66.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0
Javi Galan,Atletico Madrid,Lateral izquierdo,12.0,844.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,26.0,6.0,23.0,0.0,6.0,15.0,19.0,5.0,15.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,7.0,84.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0
Javi Guerra,Fc Valencia,Centrocampista,19.0,1176.0,0.0,1.0,0.0,0.0,20.0,3.0,15.0,27.0,7.0,26.0,0.0,9.0,15.0,11.0,9.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,78.0,7.0,8.0,0.0,0.0,0.0,0.0,22.0
Javi Hernandez,Cd Leganes,Lateral izquierdo,17.0,1216.0,0.0,1.0,0.0,0.0,5.0,1.0,20.0,27.0,2.0,7.0,0.0,4.0,5.0,30.0,17.0,12.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,10.0,74.0,0.0,2.0,0.0,1.0,0.0,0.0,54.0
Javi Lopez,Real Sociedad,Lateral izquierdo,14.0,924.0,0.0,0.0,0.0,0.0,4.0,1.0,25.0,21.0,3.0,14.0,0.0,5.0,11.0,15.0,4.0,9.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,2.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
Javi Munoz,Ud Las Palmas,Centrocampista,20.0,1351.0,0.0,2.0,0.0,0.0,11.0,3.0,27.0,15.0,4.0,27.0,0.0,3.0,14.0,15.0,16.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,15.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Javi Puado,Espanyol Barcelona,Extremo izquierdo,18.0,1544.0,7.0,1.0,0.0,0.0,37.0,11.0,30.0,12.0,2.0,17.0,1.0,8.0,15.0,11.0,4.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Javi Rodriguez,Celta Vigo,Defensa central,18.0,1212.0,1.0,2.0,0.0,0.0,5.0,1.0,20.0,2.0,1.0,50.0,0.0,2.0,11.0,15.0,19.0,19.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,6.0,85.0,0.0,2.0,0.0,0.0,0.0,0.0,37.0
Javi Sanchez,Real Valladolid,Defensa central,14.0,1154.0,1.0,0.0,0.0,0.0,4.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,2.0,87.0,0.0,5.0,0.0,1.0,1.0,1.0,64.0
Javier Manquillo,Celta Vigo,Lateral derecho,10.0,515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,33.0,0.0,2.0,1.0,9.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Javier Marton,Athletic Bilbao,Delantero centro,3.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesus Areso,Ca Osasuna,Lateral derecho,19.0,1622.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,89.0,24.0,27.0,0.0,15.0,9.0,22.0,6.0,20.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0,17.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
Jesus Owono,Deportivo Alaves,Portero,3.0,217.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Jesus Rodriguez,Real Betis Sevilla,Extremo izquierdo,4.0,175.0,1.0,0.0,0.0,0.0,3.0,3.0,100.0,6.0,1.0,17.0,0.0,3.0,10.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesus Vazquez,Fc Valencia,Lateral izquierdo,12.0,652.0,0.0,0.0,0.0,0.0,3.0,1.0,33.0,20.0,2.0,10.0,0.0,8.0,7.0,13.0,5.0,13.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,1.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Jhon Solis,Fc Girona,Centrocampista,10.0,361.0,1.0,0.0,0.0,0.0,3.0,1.0,33.0,2.0,1.0,50.0,0.0,1.0,4.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,91.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
Joan Garcia,Espanyol Barcelona,Portero,20.0,1800.0,0.0,0.0,72.0,32.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,68.0,0.0,4.0,0.0,0.0,0.0,0.0,13.0
Joan Jordan,Deportivo Alaves,Centrocampista,12.0,642.0,2.0,2.0,0.0,0.0,9.0,3.0,33.0,48.0,8.0,17.0,0.0,10.0,8.0,10.0,5.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,10.0,77.0,24.0,26.0,0.0,3.0,0.0,0.0,8.0
Jofre Carreras,Espanyol Barcelona,Extremo derecho,19.0,1233.0,2.0,3.0,0.0,0.0,29.0,7.0,24.0,23.0,7.0,30.0,0.0,14.0,35.0,16.0,9.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,14.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Johan Mojica,Rcd Mallorca,Lateral izquierdo,19.0,1481.0,1.0,1.0,0.0,0.0,7.0,2.0,29.0,72.0,25.0,35.0,0.0,8.0,11.0,12.0,20.0,14.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,16.0,22.0,79.0,0.0,6.0,1.0,2.0,1.0,0.0,35.0
Johnny Cardoso,Real Betis Sevilla,Centrocampista defensivo,13.0,925.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,16.0,24.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,4.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
Jon Ander Olasagasti,Real Sociedad,Centrocampista,9.0,215.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,17.0,0.0,0.0,1.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,81.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Jon Aramburu,Real Sociedad,Lateral derecho,17.0,1287.0,0.0,0.0,0.0,0.0,5.0,2.0,40.0,26.0,7.0,27.0,0.0,5.0,14.0,24.0,18.0,38.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,10.0,81.0,0.0,3.0,0.0,0.0,0.0,0.0,47.0
Jon Guridi,Deportivo Alaves,Centrocampista,18.0,1196.0,2.0,0.0,0.0,0.0,12.0,6.0,50.0,11.0,4.0,36.0,0.0,2.0,10.0,19.0,9.0,11.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,12.0,80.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0
Jon Martin,Real Sociedad,Defensa central,3.0,135.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Jon Moncayola,Ca Osasuna,Centrocampista,18.0,1168.0,0.0,0.0,0.0,0.0,14.0,4.0,29.0,66.0,21.0,32.0,0.0,4.0,6.0,21.0,9.0,19.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,20.0,78.0,21.0,15.0,2.0,0.0,0.0,0.0,13.0
Jon Pacheco,Real Sociedad,Defensa central,10.0,539.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,15.0,6.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,85.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0
Jonathan Bamba,Celta Vigo,Extremo izquierdo,12.0,811.0,0.0,1.0,0.0,0.0,13.0,6.0,46.0,25.0,8.0,32.0,0.0,5.0,17.0,7.0,5.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Jorge de Frutos,Rayo Vallecano,Extremo derecho,20.0,1384.0,4.0,2.0,0.0,0.0,27.0,9.0,33.0,42.0,11.0,26.0,0.0,17.0,15.0,23.0,11.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,20.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Jorge Herrando,Ca Osasuna,Defensa central,8.0,555.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0
Jorge Saenz,Cd Leganes,Defensa central,11.0,715.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,13.0,13.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,83.0,0.0,1.0,0.0,0.0,0.0,0.0,63.0
Jose Angel Carmona,Fc Sevilla,Lateral derecho,19.0,1660.0,0.0,0.0,0.0,0.0,12.0,3.0,25.0,18.0,4.0,22.0,0.0,4.0,27.0,23.0,42.0,32.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,10.0,8.0,83.0,0.0,1.0,0.0,0.0,0.0,0.0,46.0
Jose Arnaiz,Atletico Madrid,Defensa central,6.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,25.0,0.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,65.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Jose Campana,Ud Las Palmas,Centrocampista,13.0,719.0,0.0,2.0,0.0,0.0,3.0,1.0,33.0,16.0,5.0,31.0,0.0,2.0,17.0,4.0,15.0,11.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,89.0,10.0,5.0,0.0,2.0,1.0,0.0,12.0
Jose Gaya,Fc Valencia,Lateral izquierdo,7.0,481.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,23.0,0.0,3.0,8.0,8.0,10.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Jose Gragera,Espanyol Barcelona,Centrocampista,10.0,569.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,88.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0
Jose Manuel Copete,Fc Valencia,Lateral izquierdo,13.0,565.0,0.0,0.0,0.0,0.0,4.0,2.0,50.0,3.0,0.0,0.0,0.0,2.0,5.0,11.0,4.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,86.0,0.0,1.0,0.0,0.0,0.0,0.0,42.0
Jose Maria Gimenez,Atletico Madrid,Defensa central,16.0,1249.0,0.0,0.0,0.0,0.0,4.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,16.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.0,0.0,91.0,0.0,4.0,0.0,0.0,0.0,0.0,64.0
Juan Bernat,Fc Villarreal,Lateral izquierdo,10.0,212.0,0.0,1.0,0.0,0.0,2.0,1.0,50.0,9.0,2.0,22.0,0.0,2.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,82.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
Juan Berrocal,Fc Getafe,Defensa central,9.0,617.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,8.0,4.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
Juan Cruz,Cd Leganes,Extremo izquierdo,12.0,700.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,2.0,29.0,0.0,1.0,1.0,7.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,79.0,0.0,2.0,0.0,0.0,0.0,0.0,20.0
Juan Cruz,Cd Leganes,Extremo izquierdo,19.0,1165.0,4.0,1.0,0.0,0.0,23.0,10.0,43.0,60.0,15.0,25.0,1.0,7.0,13.0,7.0,8.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,27.0,13.0,73.0,11.0,12.0,2.0,1.0,0.0,0.0,14.0
Juan Foyth,Fc Villarreal,Lateral derecho,4.0,182.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,84.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0
Juan Iglesias,Fc Getafe,Lateral derecho,20.0,1517.0,0.0,0.0,0.0,0.0,9.0,1.0,11.0,54.0,12.0,22.0,0.0,9.0,20.0,24.0,31.0,29.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,12.0,60.0,0.0,3.0,0.0,0.0,0.0,0.0,69.0
Juan Miguel Latasa,Atletico Madrid,Portero,13.0,537.0,0.0,0.0,0.0,0.0,13.0,1.0,8.0,2.0,0.0,0.0,0.0,1.0,15.0,22.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Juan Musso,Atletico Madrid,Portero,1.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Soriano,Cd Leganes,Portero,6.0,540.0,0.0,0.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
