Jugador,Equipo,Posición,Partidos,Minutos jugados,Goles,Asistencias,Paradas,Goles encajados,Tiros,Tiros a puerta,Precision tiros (%),Centros,Centros precisos,Precision centros (%),Tiros al palo,Corners forzados,Faltas recibidas,Faltas cometidas,Pases interceptados,Balones robados,Balones robados al ultimo hombre,Goles salvados bajos palos,TA,TR,Penaltis cometidos,Penaltis forzados,Penaltis lanzados,Penaltis anotados,Penaltis parados,Goles en propia meta,Tiros bloqueados,Errores en gol en contra,Regates con exito,Pases claves,Precision de pases (%),Corners precisos (en corto),Faltas colgadas,Faltas colgadas precisas,Faltas directas,Faltas directas a puerta,Goles de falta,Despejes efectivos
Cesar Tarrega,Fc Valencia,Defensa central,17.0,1496.0,2.0,0.0,0.0,0.0,12.0,5.0,42.0,0.0,0.0,0.0,0.0,1.0,3.0,28.0,8.0,16.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,3.0,1.0,80.0,0.0,5.0,0.0,0.0,0.0,0.0,87.0
Chidera Ejuke,Fc Sevilla,Extremo izquierdo,10.0,553.0,1.0,0.0,0.0,0.0,11.0,5.0,45.0,14.0,3.0,21.0,0.0,6.0,7.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,14.0,82.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0
Chimy Avila,Real Betis Sevilla,Delantero centro,15.0,574.0,2.0,0.0,0.0,0.0,20.0,10.0,50.0,22.0,7.0,32.0,1.0,5.0,17.0,11.0,1.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Chiquinho,Rcd Mallorca,Extremo izquierdo,7.0,146.0,0.0,0.0,0.0,0.0,4.0,2.0,50.0,9.0,2.0,22.0,0.0,1.0,7.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,78.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0
Chrisantus Uche,Fc Getafe,Centrocampista ofensivo,20.0,1489.0,1.0,1.0,0.0,0.0,36.0,9.0,25.0,14.0,3.0,21.0,1.0,8.0,43.0,36.0,5.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,16.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Christian Mosquera,Fc Valencia,Defensa central,20.0,1789.0,0.0,0.0,0.0,0.0,3.0,1.0,33.0,0.0,0.0,0.0,0.0,1.0,16.0,9.0,20.0,12.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,4.0,0.0,91.0,0.0,4.0,0.0,0.0,0.0,0.0,59.0
Christian Stuani,Fc Girona,Delantero centro,15.0,324.0,4.0,1.0,0.0,0.0,15.0,8.0,53.0,1.0,0.0,0.0,0.0,2.0,0.0,9.0,3.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Chuki,Real Valladolid,Centrocampista ofensivo,4.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,40.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,71.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Clement Lenglet,Atletico Madrid,Defensa central,11.0,923.0,1.0,1.0,0.0,0.0,6.0,2.0,33.0,1.0,0.0,0.0,0.0,0.0,12.0,15.0,15.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,3.0,87.0,0.0,7.0,0.0,1.0,1.0,0.0,49.0
Conor Gallagher,Atletico Madrid,Centrocampista,15.0,902.0,2.0,0.0,0.0,0.0,10.0,2.0,20.0,6.0,1.0,17.0,0.0,5.0,22.0,14.0,8.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,3.0,85.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0
