Jugador,Partidos,Minutos jugados,Goles,Asistencias,Paradas,Goles encajados,Tiros,Tiros a puerta,Precision tiros (%),Centros,Centros precisos,Precision centros (%),Tiros al palo,Corners forzados,Faltas recibidas,Faltas cometidas,Pases interceptados,Balones robados,Balones robados al ultimo hombre,Goles salvados bajos palos,TA,TR,Penaltis cometidos,Penaltis forzados,Penaltis lanzados,Penaltis anotados,Penaltis parados,Goles en propia meta,Tiros bloqueados,Errores en gol en contra,Regates con exito,Pases claves,Precision de pases (%),Corners precisos (en corto),Faltas colgadas,Faltas colgadas precisas,Faltas directas,Faltas directas a puerta,Goles de falta,Despejes efectivos
Javi Puado,18,1544,7,1,0,0,37,11,30%,12,2,17%,1,8,15,11,4,11,0,0,3,0,0,0,1,1,0,0,0,0,9,9,78%,0,0,0,0,0,0,8
Javi Rodriguez,18,1212,1,2,0,0,5,1,20%,2,1,50%,0,2,11,15,19,19,0,0,5,0,0,0,0,0,0,0,2,1,2,6,85%,0,2,0,0,0,0,37
Javi Sanchez,14,1154,1,0,0,0,4,2,50%,0,0,0%,0,0,0,10,9,9,0,0,3,0,0,0,0,0,0,0,15,0,0,2,87%,0,5,0,1,1,1,64
Javier Manquillo,10,515,0,0,0,0,0,0,0%,3,1,33%,0,2,1,9,6,6,0,0,1,0,0,0,0,0,0,0,3,0,0,0,91%,0,0,0,0,0,0,15
Javier Marton,3,52,0,0,0,0,0,0,0%,0,0,0%,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,88%,0,0,0,0,0,0,0
Jesus Areso,19,1622,0,1,0,0,3,0,0%,89,24,27%,0,15,9,22,6,20,1,0,3,0,0,0,0,0,0,0,3,0,13,17,79%,0,0,0,0,0,0,53
Jesus Navas,14,354,1,0,0,0,3,2,67%,31,10,32%,0,4,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,10,84%,0,1,1,0,0,0,4
Jesus Owono,3,217,0,0,1,4,0,0,0%,0,0,0%,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,53%,0,0,0,0,0,0,2
Jesus Rodriguez,4,175,1,0,0,0,3,3,100%,6,1,17%,0,3,10,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,6,1,67%,1,0,0,0,0,0,0
Jesus Vallejo,1,11,0,0,0,0,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86%,0,0,0,0,0,0,1
Jesus Vazquez,12,652,0,0,0,0,3,1,33%,20,2,10%,0,8,7,13,5,13,0,0,3,0,0,0,0,0,0,0,5,0,10,1,76%,0,0,0,0,0,0,18
Jhon Solis,10,361,1,0,0,0,3,1,33%,2,1,50%,0,1,4,3,4,3,0,0,0,0,0,0,0,0,0,0,1,0,4,2,91%,0,1,0,0,0,0,5
