Jugador,Partidos,Minutos jugados,Goles,Asistencias,Paradas,Goles encajados,Tiros,Tiros a puerta,Precision tiros (%),Centros,Centros precisos,Precision centros (%),Tiros al palo,Corners forzados,Faltas recibidas,Faltas cometidas,Pases interceptados,Balones robados,Balones robados al ultimo hombre,Goles salvados bajos palos,TA,TR,Penaltis cometidos,Penaltis forzados,Penaltis lanzados,Penaltis anotados,Penaltis parados,Goles en propia meta,Tiros bloqueados,Errores en gol en contra,Regates con exito,Pases claves,Precision de pases (%),Corners precisos (en corto),Faltas colgadas,Faltas colgadas precisas,Faltas directas,Faltas directas a puerta,Goles de falta,Despejes efectivos
Samuel Lino,16,802,1,2,0,0,23,8,35%,20,6,30%,2,7,12,8,5,5,0,0,2,0,0,0,0,0,0,0,1,0,13,12,82%,0,0,0,0,0,0,5
Sandro Ramirez,17,1137,7,3,0,0,25,13,52%,65,16,25%,1,11,20,17,12,12,0,0,4,0,1,1,0,0,0,0,0,1,11,14,73%,27,11,0,8,3,2,16
Santi Comesana,18,1325,2,2,0,0,11,2,18%,5,2,40%,0,1,15,23,13,26,0,0,5,0,0,0,0,0,0,0,9,0,7,16,88%,0,1,0,0,0,0,21
Santiago Mourino,11,635,0,0,0,0,3,2,67%,2,1,50%,0,0,7,10,10,11,0,0,1,0,0,0,0,0,0,0,0,0,2,4,81%,0,1,0,0,0,0,29
Saul Niguez,9,640,1,4,0,0,20,7,35%,7,1,14%,0,6,4,16,10,13,0,0,3,1,0,0,0,0,0,0,1,0,4,11,82%,1,0,0,1,1,0,9
Scott McKenna,16,1358,0,0,0,0,5,0,0%,1,0,0%,0,0,1,6,6,8,0,0,2,0,0,0,0,0,0,1,17,0,1,1,86%,0,0,0,0,0,0,88
Sebastien Haller,8,404,0,0,0,0,4,1,25%,0,0,0%,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,61%,0,0,0,0,0,0,7
Selim Amallah,13,743,2,1,0,0,17,6,35%,18,6,33%,0,4,15,18,7,8,0,0,2,0,0,0,1,1,0,0,0,0,19,6,81%,9,4,1,1,0,0,3
Sergi Altimira,17,1152,0,1,0,0,13,2,15%,3,0,0%,0,2,23,20,12,22,0,0,2,0,0,0,0,0,0,0,1,0,8,16,89%,0,1,0,0,0,0,22
Sergi Canos,14,343,0,0,0,0,10,3,30%,17,2,12%,0,6,6,11,6,6,0,0,3,0,0,0,0,0,0,0,1,0,1,3,61%,3,1,0,0,0,0,4
Sergi Cardona,19,1682,1,3,0,0,15,4,27%,66,17,26%,0,12,14,25,22,27,0,0,5,0,0,0,0,0,0,0,7,0,5,26,80%,0,5,0,0,0,0,50
Sergi Darder,20,1257,0,1,0,0,16,4,25%,76,28,37%,0,10,20,10,8,13,1,0,1,0,0,0,0,0,0,0,1,0,13,25,81%,30,30,1,1,1,0,12
Sergi Dominguez,3,172,0,0,0,0,0,0,0%,0,0,0%,0,0,0,2,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,95%,0,0,0,0,0,0,7
Sergi Gomez,11,651,0,0,0,0,2,1,50%,1,0,0%,0,0,1,6,7,5,0,0,1,0,0,0,0,0,0,0,8,0,0,0,89%,0,0,0,0,0,0,36
Sergi Guardiola,5,80,0,0,0,0,1,0,0%,0,0,0%,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,64%,0,0,0,0,0,0,2
Sergio Camello,20,1007,3,2,0,0,27,7,26%,5,1,20%,0,5,8,9,4,4,0,0,2,0,0,0,0,0,0,0,1,0,12,17,79%,0,0,0,0,0,0,16
Sergio Carreira,7,408,0,0,0,0,1,0,0%,17,6,35%,0,3,2,4,3,5,0,0,0,0,0,0,0,0,0,0,1,0,2,3,80%,0,0,0,0,0,0,10
Sergio Gomez,20,1521,0,4,0,0,9,6,67%,127,28,22%,0,18,8,17,10,30,0,0,2,0,1,0,0,0,0,0,1,0,12,30,85%,63,21,4,2,2,0,11
Sergio Gonzalez,20,1752,2,0,0,0,6,3,50%,1,0,0%,0,1,6,21,30,17,1,0,1,0,1,0,0,0,0,1,16,2,3,4,84%,0,6,0,0,0,0,108
Sergio Herrera,20,1800,0,0,71,29,0,0,0%,0,0,0%,0,0,2,0,0,1,1,0,3,0,0,0,0,0,0,0,0,1,0,0,66%,0,1,0,0,0,0,16
Seydouba Cisse,18,1313,2,0,0,0,11,2,18%,6,0,0%,0,2,19,24,7,17,0,0,3,0,0,1,0,0,0,0,1,0,19,8,84%,1,3,0,0,0,0,18
Sheraldo Becker,16,749,1,0,0,0,18,10,56%,44,7,16%,2,14,11,7,1,2,0,0,1,0,0,0,0,0,0,0,0,0,3,7,72%,0,0,0,0,0,0,8
Siebe Van Der Heyden,2,97,0,0,0,0,1,0,0%,2,1,50%,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,90%,0,0,0,0,0,0,3
Silvi Clua,4,163,0,0,0,0,2,1,50%,0,0,0%,0,1,0,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,81%,0,0,0,0,0,0,6
Stanis Idumbo Muzambo,8,232,1,0,0,0,3,1,33%,0,0,0%,0,1,4,1,4,5,0,0,0,0,0,0,0,0,0,0,1,0,8,4,82%,0,0,0,0,0,0,1
Stanko Juric,18,1210,0,0,0,0,4,1,25%,0,0,0%,0,1,7,28,14,16,0,0,5,0,0,0,0,0,0,0,6,0,5,3,85%,0,2,0,0,0,0,44
Stoichkov,16,699,0,1,0,0,18,3,17%,14,2,14%,1,9,16,9,1,8,0,0,1,0,0,0,0,0,0,0,0,0,6,7,65%,0,0,0,1,0,0,7
Stole Dimitrievski,4,360,0,0,6,6,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,39%,0,2,0,0,0,0,5
Suso Fernandez,6,142,0,0,0,0,5,1,20%,12,4,33%,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,88%,7,2,0,1,0,0,0
Tadeo Allende,1,2,0,0,0,0,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33%,0,0,0,0,0,0,0
Takefusa Kubo,20,1299,4,0,0,0,23,9,39%,41,11,27%,0,22,33,12,7,12,0,0,3,0,0,0,0,0,0,0,1,0,38,24,77%,4,3,1,0,0,0,4
Takuma Asano,9,411,0,0,0,0,11,4,36%,13,0,0%,1,6,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,71%,0,0,0,0,0,0,3
Tanguy Nianzou,6,518,0,0,0,0,2,0,0%,0,0,0%,0,0,5,10,7,5,0,0,3,1,0,0,0,0,0,1,0,0,3,0,91%,0,1,0,0,0,0,26
Thiago Ojeda,1,8,0,0,0,0,1,0,0%,1,0,0%,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100%,0,0,0,0,0,0,1
Thibaut Courtois,17,1530,0,0,35,16,0,0,0%,0,0,0%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,84%,0,0,0,0,0,0,12
Thierno Barry,19,1267,7,3,0,0,48,16,33%,2,1,50%,0,4,28,23,0,5,0,0,2,0,0,1,1,1,0,0,2,0,6,17,63%,0,0,0,0,0,0,6
Thierry Correia,11,768,0,0,0,0,7,3,43%,18,4,22%,0,6,14,15,3,18,0,0,1,0,0,0,0,0,0,0,1,0,10,5,73%,0,0,0,0,0,0,16
Thomas Lemar,1,7,0,0,0,0,0,0,0%,0,0,0%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100%,0,0,0,0,0,0,0
Tomas Conechny,12,619,1,0,0,0,19,8,42%,29,13,45%,0,9,8,21,4,4,0,0,4,0,0,0,0,0,0,0,1,0,2,6,62%,3,0,0,2,1,0,6
Toni Martinez,15,544,3,0,0,0,26,9,35%,3,1,33%,0,4,5,10,0,3,0,0,0,0,1,0,0,0,0,0,2,0,5,8,57%,0,0,0,0,0,0,8
Umar Sadiq,8,249,0,0,0,0,5,0,0%,2,0,0%,0,1,2,10,1,1,0,0,2,0,0,0,0,0,0,0,1,0,5,1,58%,0,0,0,0,0,0,2
Unai Gomez,18,590,1,2,0,0,9,2,22%,8,2,25%,0,2,12,7,2,0,0,0,1,0,0,0,0,0,0,0,0,0,7,4,71%,5,0,0,0,0,0,7
Unai Lopez,17,964,3,0,0,0,13,7,54%,13,3,23%,0,4,10,12,18,9,1,0,5,1,0,0,0,0,0,0,1,0,8,7,85%,4,4,0,1,0,0,11
Unai Nunez,3,270,0,0,0,0,1,0,0%,0,0,0%,1,0,3,2,12,2,0,0,1,0,0,0,0,0,0,0,2,0,1,0,87%,0,2,0,0,0,0,13
Unai Simon,3,270,0,0,4,3,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,63%,0,0,0,0,0,0,1
Urko Gonzalez de Zarate,1,45,0,0,0,0,0,0,0%,1,0,0%,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,63%,0,0,0,0,0,0,0
Valentin Barco,7,288,0,0,0,0,7,0,0%,25,4,16%,0,7,5,7,2,9,0,0,0,0,0,0,0,0,0,0,0,0,3,6,79%,5,3,0,2,0,0,2
Valentin Rosier,17,1273,0,1,0,0,5,1,20%,18,2,11%,0,3,12,24,20,34,1,0,5,0,0,0,0,0,0,0,2,0,11,5,76%,0,2,0,0,0,0,60
Valery Fernandez,11,231,2,0,0,0,3,3,100%,4,1,25%,0,2,1,3,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,88%,0,0,0,0,0,0,1
Vedat Muriqi,15,1086,3,2,0,0,29,10,34%,8,0,0%,0,11,19,18,4,0,0,0,1,2,1,0,0,0,0,0,0,0,5,15,64%,0,0,0,0,0,0,20
Vicente Guaita,16,1440,0,0,39,23,0,0,0%,0,0,0%,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,77%,0,1,0,0,0,0,13
Victor Meseguer,14,417,0,0,0,0,6,0,0%,3,1,33%,0,2,5,8,3,6,0,0,1,0,0,0,0,0,0,0,0,1,1,1,79%,0,0,0,0,0,0,4
Viktor Tsygankov,9,582,1,2,0,0,9,3,33%,38,16,42%,0,7,11,6,5,5,0,0,1,0,0,0,0,0,0,0,0,0,5,8,82%,19,7,0,1,1,0,5
Vinicius Junior,15,1176,8,5,0,0,43,14,33%,31,6,19%,0,22,44,21,0,9,0,0,5,1,0,2,2,2,0,0,0,0,40,30,79%,0,1,0,0,0,0,0
Viti Rozada,15,910,0,1,0,0,0,0,0%,22,6,27%,0,3,17,19,17,26,0,0,3,0,0,0,0,0,0,0,3,0,2,6,86%,0,0,0,0,0,0,22
Vitor Roque,17,1099,4,0,0,0,39,18,46%,6,2,33%,0,8,28,24,6,5,0,0,3,0,0,2,0,0,0,0,0,0,9,10,74%,0,0,0,0,0,0,3
Walid Cheddira,16,587,1,1,0,0,10,3,30%,0,0,0%,0,2,22,25,1,0,0,0,2,0,0,1,0,0,0,0,0,0,4,6,74%,0,0,0,0,0,0,7
William Carvalho,4,247,0,0,0,0,3,1,33%,1,0,0%,0,0,0,4,3,2,0,0,0,0,0,0,0,0,0,0,1,0,3,1,83%,0,0,0,0,0,0,4
Williot Swedberg,18,735,2,3,0,0,18,8,44%,14,2,14%,0,7,18,10,1,7,0,0,1,0,0,0,0,0,0,0,1,0,3,10,73%,0,0,0,0,0,0,3
Willy Kambwala,4,234,0,0,0,0,2,1,50%,0,0,0%,0,0,0,1,2,4,0,0,0,1,0,0,0,0,0,0,2,0,0,0,75%,0,2,0,0,0,0,12
Yangel Herrera,13,897,2,1,0,0,15,5,33%,19,5,26%,0,6,27,33,14,18,0,0,5,0,0,0,0,0,0,0,1,0,8,8,86%,0,0,0,0,0,0,19
Yarek Gasiorowski,12,826,0,0,0,0,2,0,0%,3,1,33%,0,1,2,4,22,16,2,0,1,0,0,0,0,0,0,0,5,0,0,3,81%,0,2,0,0,0,0,41
Yaser Asprilla,11,728,1,0,0,0,19,4,21%,44,10,23%,1,8,14,7,3,7,0,0,1,0,0,0,0,0,0,0,0,0,10,12,81%,12,7,3,1,0,0,3
Yellu Santiago,13,307,0,0,0,0,1,0,0%,2,1,50%,0,0,5,11,0,7,0,0,3,0,0,0,0,0,0,0,1,0,0,0,69%,0,0,0,0,0,0,2
Yeray Alvarez,11,902,0,0,0,0,3,1,33%,2,1,50%,0,2,12,8,19,8,0,0,2,0,0,0,0,0,0,0,3,0,3,2,82%,0,6,0,0,0,0,40
Yeremi Pino,17,889,1,3,0,0,16,4,25%,30,4,13%,3,13,16,19,5,16,0,0,5,0,0,1,0,0,0,0,2,0,14,19,78%,0,0,0,0,0,0,6
Yoel Lago,1,90,0,0,0,0,0,0,0%,0,0,0%,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,95%,0,0,0,0,0,0,2
Youssouf Sabaly,14,1017,0,0,0,0,3,0,0%,22,6,27%,0,2,6,12,10,19,0,0,1,0,0,0,0,0,0,0,2,0,8,6,85%,0,2,0,0,0,0,26
Yuri Berchiche,17,1139,0,0,0,0,9,3,33%,19,3,16%,0,3,12,10,14,10,0,0,3,0,0,0,0,0,0,0,2,0,5,6,84%,0,6,0,1,0,0,34
Yvan Neyou,16,1291,1,1,0,0,12,2,17%,8,2,25%,1,4,34,17,16,21,0,0,8,0,0,0,0,0,0,0,1,1,10,4,87%,0,0,0,0,0,0,22
